=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -469.23 -468.46 -475.22 -481.59 -480.91 -487.26 -491.31 -499.41 -500.35 === === === === === -529.76 === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -463.61 -467.94 === -474.77 -479.31 -481.98 -488.34 -491.23 -496.48 === === === === === === === === -534.91 === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -473.06 -477.12 -478.72 -484.08 -488.61 -492.81 -497.75 -503.33 -502.26 === -514.99 === === === === === -539.78 === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -476.83 -480.20 -487.58 -487.54 -493.25 -498.33 -502.90 -504.68 -508.20 === -517.67 -521.38 === === === === === -546.52 === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -488.19 -488.66 -492.85 -495.32 -499.42 -508.50 -511.58 -511.45 === === === === === === === === -553.99 -553.18 === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -492.77 -496.34 -496.71 -502.40 -504.79 -511.09 -516.77 -517.07 -520.67 === === -532.40 === === === === === -559.34 === === === === === === === === === === === -614.21 === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -498.10 -501.65 -505.56 -512.87 -514.01 -516.81 -523.58 -528.18 -529.49 === -538.78 === === === === === -567.06 -567.16 === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -500.54 -505.82 -510.15 -517.70 -518.15 -522.39 -526.63 -529.54 -536.18 -541.42 === -546.56 === === === === === -572.54 === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -508.08 -511.47 -515.47 -518.61 -525.92 -529.05 -532.56 -536.32 -541.35 -539.91 === -551.67 -557.64 === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -517.42 -517.27 -525.68 -529.25 -528.45 -538.38 -539.66 -544.55 === === -552.84 === -564.48 === === -579.21 -580.41 === === === -597.04 === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -521.37 -524.81 -528.75 -533.91 -536.98 -544.43 -548.00 -548.95 -548.59 -559.23 === === -565.59 -571.73 -576.79 -580.38 === === === === === === === === -619.58 === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -531.84 -533.46 -536.88 -542.43 -545.12 -547.37 === === === === === === -576.69 -579.35 === === === === === === === === === === === -634.68 === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -534.49 -538.69 -539.85 -545.85 -552.23 -553.40 -553.83 -558.82 === === === -579.63 === -586.30 === === === === === -611.38 === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -546.31 -547.13 -552.78 -553.96 -557.17 -563.81 -566.25 === === === -579.69 === === === === === === -610.31 === -621.52 === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -551.26 -554.41 -561.12 -558.87 -567.23 === === === -580.26 -586.08 -589.37 -593.21 === === === === -616.13 === === === === -636.37 === === -649.87 === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -558.23 -559.49 -564.13 -566.73 -571.13 -575.12 -581.88 -580.83 -584.53 === === === === === === -612.90 === -626.33 -626.50 === === -642.24 === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -566.27 === -575.91 -574.32 -578.79 -585.63 === === === === -602.66 === === === === === === === === === -644.93 === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -571.63 -574.37 -578.42 -580.68 -585.94 -585.53 -589.16 === === === -608.87 === === -620.90 === === -631.34 === -639.83 -645.65 === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -578.44 -579.88 -584.70 -586.20 -592.49 === === === === === === === === === === === -642.38 === -649.46 -653.88 === -660.68 === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -584.21 -589.30 -589.53 -591.41 === === === === === === === === -627.69 === === === === -647.85 === === === -664.83 -668.05 -677.65 === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -592.16 -593.95 === === === === === === === === -631.87 -635.37 === === === -649.23 === === === === === === -678.42 === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -595.79 -595.26 === === === === === === === === === === === === -650.46 === === === === === === === === -689.64 === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -601.76 === === === === === === === === === === === === === === === === -671.78 === -677.15 === === -692.11 -695.64 === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -704.34 === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -621.58 === === === === -641.78 === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -630.83 === === === === === === === === === === === === === === === === === === === === -712.21 -716.98 -719.08 -726.03 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -720.53 === -728.34 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -646.09 -648.00 -648.16 === === === === === === === === === -690.12 -690.96 === === === === -712.10 === === -724.80 -730.17 -733.73 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
