=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === -469.10 -466.22 === === === === -467.19 -463.79 -464.66 -464.26 -465.26 -465.64 -465.62 -468.14 -469.73 -469.75 -469.68 -471.03 === === === -472.89 === -473.48 -477.03 -479.06 -479.81 -479.92 -483.25 -484.36 === === === === === -493.34 -497.69 === === === === === -506.08 === === === === === -523.80 === === -534.62 -534.38 === -541.04 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -659.60 === === === === === === === -694.56 === === 
=== === === -474.19 -474.12 === === === -472.95 -471.68 -473.88 -471.09 -473.76 -469.60 === === -470.85 === -470.44 -471.92 -474.03 -476.77 -476.38 -476.68 -475.20 -477.76 -477.99 -478.15 -484.08 === === -485.04 === -488.57 === -491.95 -497.47 -495.33 === -502.91 === === -508.59 -510.82 === -515.86 === === === -524.86 === -529.72 -531.99 === -538.63 -543.75 === -546.54 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -700.43 === === 
=== === === -475.94 -476.33 === === === -476.55 === -474.97 === === === -476.96 === === === === === === === === === === === === === -488.01 === === === === === === === === -501.78 === === === === === === === === === === === === === === === === === === -548.79 -550.12 -556.32 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -703.79 === === 
=== === === -487.70 -485.97 === === === === === === === === === === === === === === === === === === === === === === === -493.74 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -561.99 === -564.59 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -708.28 === === 
=== === === -489.12 -490.84 === === === === === === === === === === === === === === === === === === === === === === === -498.15 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -576.00 === -581.71 -582.65 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -716.01 === === 
=== === === === -493.77 === === === === === === === === === === === === === === === === === === === === === === -502.87 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -581.63 === -586.42 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -716.14 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -715.29 -723.79 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -598.90 -603.80 -610.29 -612.93 -614.59 === === === === -630.71 === === === === === === === === === === === === === === === === === === === === === === -720.89 -724.58 === === 
=== === === -517.67 -514.46 === === === === === -512.78 === === === === === === === === === === === === === === === === -521.05 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -614.04 -620.08 === === === === -635.09 -637.85 === === === === === === === === === === === === === === === === === === === === -721.26 === -726.75 === === 
=== === === -519.03 -521.37 -519.58 -520.28 -518.36 -520.42 -517.20 -518.05 -520.00 -520.18 -520.35 -520.70 -520.86 -519.45 === === -520.55 === === -523.48 -522.71 -524.97 -526.69 -525.89 -527.73 -528.28 -528.79 -529.52 -532.61 -534.10 -538.00 -535.74 -540.85 -540.67 === === === === === === === === === === === === === === -572.96 === === -580.55 === === === === -595.33 === === === === === === === -620.74 -620.32 === === === === === === === === === === === === === === === -678.70 -685.14 -689.54 -693.54 -695.69 -701.01 -706.24 -708.37 -715.24 -717.47 -722.76 -727.18 -727.92 -732.70 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
