=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === -468.65 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -545.93 -550.80 === === === -564.89 === === === === -584.25 -587.56 -589.82 -597.38 -600.21 === -604.69 -611.28 -611.65 === === === -627.91 -631.57 === === === === -656.02 === === -662.75 === -677.12 -682.46 -684.30 -686.46 -693.76 -697.99 === === 
=== === === -471.67 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -544.54 === === === === === === === === === === === === -588.35 -598.23 -598.45 -601.79 === === -611.30 === === === === -630.03 === === === === === === === === === === -681.39 -684.16 -687.72 -692.25 -695.62 -699.20 === === 
=== === === -478.69 -476.15 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -556.07 === === === === -573.13 -576.52 === === === === -596.37 -599.54 -605.59 -608.97 -613.13 === === === === === === === === === === === === === -665.64 === -675.99 -678.53 -684.85 -689.29 -691.77 -693.21 -700.44 -704.75 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -566.44 -566.48 -569.82 -575.23 === -578.98 -585.40 === === === === === -607.51 -607.62 -607.84 === === === === === === === === === === === -658.70 === -665.49 -669.27 -677.83 === -682.66 -684.29 -692.72 -696.84 -699.29 -707.26 -709.21 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -575.84 === === === -588.02 === === === === === === === === === === === === === === === === === === === === === === -676.39 -681.95 === -689.75 -697.15 -699.00 -707.94 -706.18 -713.69 === === 
=== === === === === === === === === === === === -493.42 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -590.23 -591.95 === -600.45 -600.60 === === === === === === === === -630.18 === === === -646.79 -652.39 -653.44 -656.72 === === === -675.15 === === === -693.00 -699.24 -702.45 === -708.30 -712.13 -716.86 === === 
=== === === -504.73 === === === === === -503.08 -499.71 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -591.14 -593.83 -599.62 -604.22 -606.96 === === === === === === === === === === === -645.51 === === -657.28 === === === === === === === === -697.66 -698.45 -706.83 === -711.77 -717.35 -722.18 === === 
=== === === -509.88 -507.99 === === -509.32 -508.36 -507.63 -504.20 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -610.33 -613.56 === === === === === === === -642.45 === -647.18 -654.36 === -663.59 -661.90 === === === === === -686.71 -691.25 -694.69 -699.63 === -711.17 === === -718.96 -723.42 === === 
=== === === -511.86 -517.26 === -516.37 -514.23 -510.66 === -514.64 -513.38 -513.44 -513.06 -513.17 -514.06 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -614.33 -614.91 === === === === -635.58 -638.62 === -648.44 -649.07 === === -661.85 -663.00 -665.74 === === === === -687.24 === -697.37 -700.93 -705.11 -707.39 -713.26 === -721.21 === -728.11 === === 
=== === === -521.58 -520.85 -521.17 -520.82 -520.21 -520.47 -517.33 -517.46 -518.83 -519.41 -520.06 -517.25 -517.64 -519.53 -521.92 -518.61 -521.61 -520.37 -521.06 -525.16 -523.60 -524.80 -524.78 -528.22 -530.01 -530.46 -531.80 -533.73 -534.10 -536.36 -537.49 === === === -543.76 -545.81 -547.08 -549.00 === -553.50 -554.38 -557.28 -559.44 === === -566.03 === -572.63 -572.86 === -579.78 -583.30 -583.67 -587.11 -590.56 -594.21 -597.01 -599.06 -603.10 -605.88 -609.21 -611.99 -616.16 -618.23 -621.89 -622.34 === === === === === -643.09 -648.95 -651.27 -654.42 -658.02 -659.67 -665.93 -667.60 -673.17 === -680.54 -684.88 -687.23 -690.92 -696.46 -700.31 -706.08 -707.80 -714.54 -718.62 -719.66 -723.36 -729.42 -735.73 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
