=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -494.04 === === === === -505.08 === === === === === === === === === === === === === === === === === === === === -576.01 === === -586.77 -587.34 -591.14 -592.69 === === === === === === === === === === === === === -652.75 === === === === === === === === === === 
=== === === === === === === === === === === === -462.02 === === === === === === === === === === === === === === === === === -476.94 === === === === === === === === === === === === === === === === === === -513.99 === === === === === === === === === === === === === === === === === === === === === === === -596.79 -594.80 === -603.43 === === === === === === === === === === === -654.23 === === === === === === === === === === === 
=== === === === -469.24 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -508.24 === === -516.82 === -521.45 === === === === === === === === === === === === === === === === === === === === === === === -599.84 -598.62 -604.63 -609.01 === === === -625.71 -631.58 -632.35 -639.31 -642.81 === === -652.08 === === === === === === === === === === === === 
=== === === === === === === === -469.11 === === === === === === -469.11 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -516.36 === === === === === === === === === === === === === === === === === === === === === === === === === === === === -607.09 -606.72 === === === === === === === === === -650.05 -651.77 === -664.36 === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === -484.61 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -606.91 -609.55 -614.17 === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === -487.07 -487.75 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -608.39 === -613.96 -616.43 === === === === === === === === === === === === === === -677.92 === === === === === === === === === 
=== === === -493.03 -493.50 -488.57 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -570.58 === === === === === === === === === === === -613.92 === -621.02 -620.01 === === === === === === === === === === === === === === === === === === -699.74 === === === === === 
=== === === -493.96 -494.03 -494.89 -494.34 -492.79 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -616.06 -621.91 -623.43 -627.27 === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === -500.60 -499.72 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -623.18 -626.24 -632.50 === === === === === === === === === === === === === === === === === -703.62 === -712.63 === === === === 
=== === === === -505.77 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -631.09 -633.26 === === === === === === === === === === === === === === === === === -705.47 === -713.31 -714.93 === -727.32 === === 
=== === === -513.81 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -637.15 -636.54 === === === === === === === === === === === === === === === === === === === -716.37 -720.17 -726.91 -731.13 === === 
=== === === -519.78 -518.01 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -614.17 -616.53 -620.34 -623.81 === === === === === -643.97 === === === === === === === === === === -687.14 -688.69 === -695.71 -702.63 === === -714.22 -716.57 -721.73 -725.50 -730.37 -734.69 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
