=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === -437.15 === === === === === === -436.38 === === === === === === === === === === === === === === === === === === === -450.46 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -552.03 -552.48 -558.87 -561.64 -565.00 -572.17 -574.68 -577.26 -582.91 === -590.51 === === === === -614.36 === === === === === === -640.10 -641.89 -650.54 === === === === === === === === 
=== === === === === === === === === === === -441.27 === === === === === === === === === === === === === === === === === === === === === === -465.93 === === === === === === === === === === === === === === === === === === -507.77 === === === === === === === === === === === === === -559.19 === === -568.89 -571.48 -577.15 -580.28 -582.15 -585.58 === === -597.83 -604.92 === === === === === === === === === -646.21 -652.33 -652.99 === === === === === === === === 
=== === === === === -447.56 -449.72 === === === -449.32 -444.82 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -489.28 === === === === === === === -509.18 === === === -523.49 === === === === === === === === === === === === -566.71 === -572.68 -574.51 -583.36 -583.10 -586.95 -592.41 -597.25 -599.79 === === === === === === === === === -641.80 -641.84 -648.63 === === -661.68 === === === === === === === 
=== === === === -453.01 -456.32 -455.94 -455.53 === === -451.56 -454.09 -454.59 === === === === === === -456.42 === === === === === -463.62 -465.40 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -571.90 -573.41 -578.62 -581.21 -585.49 -591.70 -587.92 -594.47 -600.79 -606.28 -607.14 -611.18 === === === === === === === === === === -657.80 === -666.52 === === === === === === === 
=== === === === === -457.90 -458.00 -462.12 === === -461.39 -459.86 === === === === === === === === === === -462.03 === -464.49 -466.78 -466.34 === === === -474.83 === === === === === === === === === === === === === === === === === === === === === === === -526.17 === === === === === === === === === === === === === === -575.85 -578.26 -584.44 -587.05 -593.86 -597.33 -600.63 -603.62 -604.75 -611.91 === -621.42 === === === === -640.60 === -651.50 === === -661.26 -665.09 -669.09 === === === === -694.67 === === 
=== === === === -469.35 === -464.46 === === === === -462.40 === === === === === === -467.36 === === === === === === -470.41 === === === === === === === === === === === === === === === === === === === === === === === === === === -526.92 === === === === === === === === === === === === === === === === === -585.12 -588.96 -593.68 -597.76 -602.44 -604.37 -607.38 -611.74 -615.67 === -627.53 -626.93 -629.69 === === === === === === -662.84 -664.98 === -673.96 -677.04 === === === === === === 
=== === === === === === -469.61 === === === === -469.70 -470.94 -472.97 === === === === === === -472.44 === === === === -479.95 === === === === === === === === -492.98 -493.08 === === === -498.82 === -506.12 === -510.67 === === === === === -522.93 === === === === === === === === === === === === === === === === === === === === === -597.03 -601.20 -602.31 -604.93 -610.50 === -617.71 === -627.88 -630.06 -633.12 -635.15 === -649.02 -649.94 === -661.00 -660.87 -667.24 -672.38 === === -681.29 === === === === === === 
=== === === === === -479.65 -477.14 === === === === === -479.19 -477.28 === -475.86 === -476.06 === -482.17 === === -484.30 -484.45 === === === === === -491.41 === === === === -495.82 -498.70 === === === === === -510.67 === === === === === -524.72 -527.91 === -531.36 -537.23 -537.33 === -541.98 -548.10 -550.35 -553.37 -552.92 === === === === === === === === === === === === === -602.32 -607.29 -612.02 -612.07 -618.41 === === -630.39 -636.51 -640.01 -639.58 -646.00 -650.59 -653.26 -654.78 -662.89 -666.19 -668.17 -671.34 === === === -692.40 === === === === === 
=== === === -487.05 === -481.02 === === === === === === -481.76 === === -483.23 -483.17 -486.42 === === === -488.83 === -490.79 -490.37 -489.06 === === === === === === === === -503.04 -503.86 === === -512.06 === === === -520.79 === === === -528.09 -529.06 === === === === === === === === -552.53 === === === === === === === === === === === === === === === === === -616.90 -618.39 -620.23 -628.49 === === -638.13 -643.95 -646.46 -650.00 -651.84 -656.71 -658.79 === -671.56 -677.01 -679.15 -684.30 === -689.94 -697.31 -700.18 === -708.57 === === 
=== === === -491.13 -489.39 -492.94 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -566.54 === === === === === === === === === === === === === -618.02 -618.91 -626.73 -629.55 -632.07 -634.07 -641.43 === -644.97 -651.56 -658.17 -659.41 -663.74 -664.83 -670.63 -676.83 -677.38 === === -691.59 === === === === === === === 
=== === === -494.00 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -575.34 === === === === === === === === === === === === -621.75 -626.38 -629.76 === === === === -646.47 -649.96 -653.72 -658.71 -663.27 -664.79 -672.71 -675.20 -679.09 === === === === -698.45 === -708.42 === === === === 
=== === === -501.65 -503.59 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -628.75 -627.12 -631.90 === === === -648.28 -651.73 === === === === -673.93 -671.58 -678.69 -685.62 -686.55 === === -699.67 -706.42 === === -718.05 === === === 
=== === === -510.44 -511.20 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -630.38 -631.70 === === -648.88 -649.22 === === === === === === -675.70 === -684.38 === -688.93 -698.27 -703.51 === === -711.48 === === -727.52 === === 
=== === === -513.53 -515.36 === -516.63 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -615.44 -619.38 === === === === -637.66 -637.42 -643.67 === === === === === === === === === === === === === -694.53 -703.13 === -710.01 -711.35 === === -726.31 -728.05 === === 
=== === === -521.46 -520.79 -518.31 === === === === === === === === === -520.60 -519.80 === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === -612.02 === -616.79 -620.44 -624.72 === === === === === -641.84 -647.31 -648.23 -651.42 === === === === === === === === === === === === -706.17 -711.47 -715.25 -717.16 -721.73 -723.07 -731.17 -735.08 === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
=== === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === === 
